ResearchCenter,Researcher,Topic
ILB,"Zaenal Arifin, Dr., Drs., M.Si.","Economics, Econometrics and Finance and Social Sciences, with particular expertise in peer Effects, fixed Effects, trade Barriers, payment Policy, fun, panel studies, trading Volume, board of Supervisors, customary law, indonesia, and social Networks."
ILB,"Arseto Yekti Bagastyo, Prof., S.T., M.Phil., Ph.D.","Engineering and Chemical Engineering, with particular expertise in clean water, potential Applications, diamond, removal Efficiency, experiment Results, desire, error Value, solid Waste Management, waste treatment, initial treatment, inductively Coupled Plasma, molar Ratio, waste to Energy, engineering Energy, mobile Bed, ammonia, electro-Oxidation, film, hydrogen peroxide, artificial intelligence, reverse Osmosis, suspended Particles, elimination of Chemical Oxygen Demand, polyethylene, and copy."
ILB,"Ridho Bayuaji, Prof., S.T., M.T., Ph.D.",
ILB,"Cahya Buana, S.T., M.T.","Earth and Planetary Science and Computer Science, with particular expertise in surveyor, train, peta Google, image Sensor, flash point, and polystyrene."
ILB,"Sarah Cahyadini, S.T., M.T., Ph.D.","Computer Science and Engineering, with particular expertise in daily Activities, morphological Analysis, scientific Documents, planning Document, urban Environment, potential Threats, rainwater, scale Models, naturalization, engineering, and riverside."
ILB,"Muhammad Sigit Darmawan, Prof., Ir., M.Eng.Sc., Ph.D.","Materials Science and Engineering, with particular expertise in alkaline Activator, luggage, earthquake Load, architectural Design, acoustic Emissions, test Results, hotel, mortar Semen, power plants, breakwater, porosity, prestressing, active Cement, remaining Service Period, case Scenario, and room Temperature."
ILB,"Raden Darmawan, Dr. Eng., S.T., M.T.","Materials Science, Agricultural and Biological Sciences, and Engineering, with particular expertise in tummy time soon, tummy time soon, tummy time soon, tummy time soon, tummy time soon, and tummy time soon."
ILB,"Januarti Jaya Ekaputri, Dr. Eng., S.T., M.T.",
ILB,"M. Haris Miftakhul Fajar, S.T., M.Eng.",
ILB,"Joni Hermana, Prof., Ir., M.Sc., ES., Ph.D.",
ILB,"Welly Herumurti, S.T., M.Sc.","Agricultural and Biological Sciences, Engineering, and Chemical Engineering, with particular expertise in clarias gariepinus flower, stinky Eisenia, smoked fish, catfish, fish Waste, african, cow, x-Ray Diffraction Analysis, diamond, experiment Results, setting Time, molar Ratio, energy dispersive spectrometry, supernatant, mobile Bed, ammonia, hydrogen peroxide, coagulation-flocculation, and polypropylene."
ILB,"Dewi Hidayati, Prof., Dr., S.Si., M.Si.","Pharmacology, Toxicology and Pharmaceutical Sciences and Agricultural and Biological Sciences, with particular expertise in 3,4 Methylene Dioxy Amphetamine, physalis fruit, catharanthus roseus, flavonoid, snakehead Fish (Fish), protein Characterization, methanol, virtual Screening, amylase Inhibitors, diabetes Mellitus, polyethylene Glycol, celery, taxi, tannin, drought Stress, toxicology, agar-agar, cassia flower, fish Cultivation, endoparasites, leukocyte Count, number of Plates, pen, metal Concentration, heavy metal, lola, steaming, traditional medicine, parasitology, composting, chemical Oxygen Demand, age Structure, survival Rate, and intestines."
ILB,"Nur Ahmad Husin, Dr., S.T., M.T.","Materials Science and Engineering, with particular expertise in sodium, alkaline Activator, luggage, test Results, japan, active Mortar, porosity, and case Scenario."
ILB,"Nieke Karnaningroem, Prof., Dr., Ir., Dipl., SE., M.Sc.",
ILB,"Anak Agung Gde Kartika, Dr., S.T., M.Sc.",
ILB,"Berlian Al Kindhi, Dr., S.ST., M.T.","Computer Science and Engineering, with particular expertise in big Data Analytics, annotation, android App, extracted Data, pose Estimation, cloud Infrastructure, long Short Term Memory Network, lstm, fuzzy Mathematics, grouping Method, remote Monitoring, data Mining, knowledge Discovery in Databases, hierarchical Clustering, performance Comparison, business Process, information Systems, security System, case study, rainwater, radio waves, test Results, steel Bridge, early Life, conveyor, maximum, methane, phase Induction Motor, product Panel, technology Development, detection Device, absolute Difference, multi-Head Attention, support System, automatic System, sensor System, reaction Stoichiometry, wind Energy, and thermocouple."
ILB,"Dwi Endah Kusrini, Dr., S.Si, M.Si.","Economics, Econometrics and Finance, Social Sciences, and Engineering, with particular expertise in fixed assets, macroeconomics, state Intervention, course, kurva Kuznets, spatial Durbin Model, panel studies, workforce, dispersion Measures, indonesia, environmental Issues, developed countries, region, reduced form, test Data, the diameter is Mm, ergonomics, initial Hypothesis, and drying Machine."
ILB,"Umboro Lasminto, Dr., techn., S.T., M.Sc.",
ILB,"Mariyanto, S.Si., M.T.","Earth and Planetary Sciences and Engineering, with particular expertise in andesite, chad, cone Penetration Test, density Distribution, estuaries, heavy Metal, hydrocyanic Acid, indonesia, mathematical Method, mud Volcano, petrography, rare Earth Element, renewable Energy, septic Tank, technology Transfer, thermal Spring, trace Metal, tropical Environment, controlled Model, graphical User Interface, hysteresis Loop, inverse Filter, logging Tool, main Reason, natural Sand, net Present Value, newton's Method, outer Boundary, position Signal, regularization, resonant Frequency, and underground Pipe."
ILB,"Mariyanto, S.Si., M.T.","Earth and Planetary Science and Engineering, with particular expertise in andesite, hydrocyanide Acid, density Distribution, renewable energy, mud Mountain, wave Speed, tropical Environment, heavy metal, no magnetotel, hot Springs, mathematical Methods, petrography, septic Tank, technology Transfer, cone Penetration Test, note Taking Tools, graphical User Interface, sedimentary Basin, below the surface, reverse Filter, resonance Frequency, hysteresis Circle, controlled Model, net Present Value, natural Sand, schlumberger Company, material Samples, and gamma rays."
ILB,"Fahimah Martak, Prof., Dr., Dra., M.Si.","Pharmacology, Toxicology and Pharmaceutical Sciences, Materials Science, and Chemistry, with particular expertise in artemia, artemia salina, amino Acids, indonesian: Isatin, escherichia coli bacteria, flavonoid, glucose, glucosidase, imidazole, white Rot Fungus, uterine Cervical Cancer, who, minimum Inhibitory Concentration, ligand Protein, malignant Neoplasm, nickel, pirenzepin, pleurotus ostreatus, receptor, phytochemical Screening, medicinal plants, terpenoids, hydrazone Derivatives, virus Baptist Manusia Manusia, turn off, al2O, volume Fraction, hydrogel, cotton Fabric, wood, wetness, solution, absorbent, rough Surface, diffraction Patterns, nuclear Magnetic Resonance, sintesis Solvotermal, 3-(4,5-Dimethylthiazol-2-yl)-2,5-diphenyltetrazolium Bromide, ammonium Chloride, poisonous, cC, space Group, methanol, wave number, growth Inhibition, salsalat, uV/VIS Spectroscopy, tin, yellowish, and formation."
ILB,Sukriyah Kustanti Moerad,
ILB,"Moh. Muntaha, Dr., S.T., M.T.","Earth and Planetary Science and Engineering, with particular expertise in river bed, tropical Climate, indonesia, overflow, disaster management, vacancy Ratio, riverside, direct current, alternative Materials, degrees Celsius, main Factors, initial Strength, phase Composition, healing Conditions, heavy metal, technology Development, mechanical Properties, silicon Dioxide, room Temperature, stable Ground, and live Slide Test."
ILB,"Mukhammad Muryono, S.Si., M.Si., Ph.D.","Earth and Planetary Science and Agricultural and Biological Sciences, with particular expertise in indonesia, chlorophyll, atmospheric Correction, cloud Cover, pacific Ocean, time Series, low Plains, tropical Forest, cultivar, downstairs, rainy season, palatability, preferred Habitat, soil Temperature, tannin, and two by two."
ILB,"Farid Kamal Muzaki, S.Si., M.Si.","Earth and Planetary Science and Agricultural and Biological Sciences, with particular expertise in ash Down, diversity Index, indonesia, calcium Carbonate, species Richness, metabolite Seconds, morphology, sea Grass Field, filter Feeder, coastline Changes, suspended Sediment, zooplankton, gobi bird, sparrow, chanos Chanos, population Dynamics, ecoregion, cardinal Fish, fOOTSTEPS, pen, lactoglobulin, meristic, dry season, meadow, put Red, power plants, greening, forest dweller, prolactin, taxonomy Revision, biography, seaweed, migratory Species, and case study."
ILB,"Ainul Firdatun Nisaa, S.T., M.Sc.",
ILB,"Cahyono Bintang Nurcahyo, S.T., M.T.","Economics, Econometrics and Finance, Computer Science, and Engineering, with particular expertise in construction Costs, indirect Costs, circular Economy, social Economics, specific Industries, green Economic Growth, private Sector, data Seconds, collaborative design, genetic Algorithms, loss Budget, smart Phone Application, brick Building, multi-storey building, initial Costs, direct Costs, lognormal Distribution, main Problem, empirical Model, earthquake Loading, affordable Housing, development Project, interdependence, construction Phase, planning Stage, systems Technology, and analysis Theory."
